id_type,id,baseline_owner,baseline_semantics,candidate_owner,candidate_semantics,status,action_taken,notes
chapter,0F73D94269F5D8E4,vehicles.snbt: Vehicles and Transport,"chapter-key=vehicles; icon=""immersive_aircraft:biplane""","vehicles.snbt: Carts, Boats, Planes and OSHA Violations","chapter-key=vehicles; icon=""immersive_aircraft:biplane""",unchanged,preserved baseline definition,
chapter,1CDE54C53326DB2E,new_horizons.snbt: Exploration Without Getting Completely Lost,"chapter-key=new_horizons; icon=""explorerscompass:explorerscompass""",new_horizons.snbt: Leave Home Without Losing Home,"chapter-key=new_horizons; icon=""explorerscompass:explorerscompass""",unchanged,preserved baseline definition,
chapter,204FAE13146E5459,travel_storage.snbt: Stop Living Out of 46 Chests,"chapter-key=travel_storage; icon=""toms_storage:ts.storage_terminal""",travel_storage.snbt: Your 46-Chest Intervention,"chapter-key=travel_storage; icon=""toms_storage:ts.storage_terminal""",unchanged,preserved baseline definition,
chapter,21C9510BB900DB8C,"dimension_campaigns.snbt: Expedition Campaigns: Aether, Twilight and Beyond","chapter-key=dimension_campaigns; icon=""aether:bronze_dungeon_key""","dimension_campaigns.snbt: Portals, Bosses and Poor Decisions","chapter-key=dimension_campaigns; icon=""aether:bronze_dungeon_key""",unchanged,preserved baseline definition,
chapter,34DE56B26240E40B,welcome.snbt: WHERE THE FUCK DO I START?,"chapter-key=welcome; icon=""minecraft:writable_book""","welcome.snbt: START HERE, YOU BEAUTIFUL NOOB","chapter-key=welcome; icon=""minecraft:writable_book""",unchanged,preserved baseline definition,
chapter,36119855CD15B1E0,create_basics.snbt: Create Without Having a Brain Aneurysm,"chapter-key=create_basics; icon=""create:large_cogwheel""",create_basics.snbt: Create Without Having a Brain Aneurysm,"chapter-key=create_basics; icon=""create:large_cogwheel""",unchanged,preserved baseline definition,
chapter,3AADFB5A564F217F,"archaeology.snbt: Fossils, Archaeology and Dinosaurs","chapter-key=archaeology; icon=""betterarcheology:archeology_table""","archaeology.snbt: Brush First, Break Nothing","chapter-key=archaeology; icon=""betterarcheology:archeology_table""",unchanged,preserved baseline definition,
chapter,3DE8DA0F3834D67A,"homestead_mastery.snbt: Homestead Mastery: Farm, Kitchen and Apiary","chapter-key=homestead_mastery; icon=""farmersdelight:cooking_pot""","homestead_mastery.snbt: Farm, Kitchen, Bees: Feed the Damn Server","chapter-key=homestead_mastery; icon=""farmersdelight:cooking_pot""",unchanged,preserved baseline definition,
chapter,3EDDE01784B7FFE8,"companions_communities.snbt: Companions, Fishing and Settlements","chapter-key=companions_communities; icon=""minecraft:lead""","companions_communities.snbt: Pets, Fish and Villagers With Jobs","chapter-key=companions_communities; icon=""minecraft:lead""",unchanged,preserved baseline definition,
chapter,5EBE63337CA92B96,first_days.snbt: Surviving the First Night,"chapter-key=first_days; icon=""minecraft:campfire""","first_days.snbt: Day One: Bed, Bread, Don't Die","chapter-key=first_days; icon=""minecraft:campfire""",unchanged,preserved baseline definition,
chapter,656E76FAECBEFE8D,create_projects.snbt: Create Projects: Workshop to Railway,"chapter-key=create_projects; icon=""create:mechanical_arm""",create_projects.snbt: Create: Build Machines With a Point,"chapter-key=create_projects; icon=""create:mechanical_arm""",unchanged,preserved baseline definition,
chapter,69DA49AB86E5AA58,endgame.snbt: Dangerous Shit and Endgame,"chapter-key=endgame; icon=""minecraft:dragon_egg""","endgame.snbt: Dangerous Shit, Bigger Consequences","chapter-key=endgame; icon=""minecraft:dragon_egg""",unchanged,preserved baseline definition,
chapter,7D7B970A3302D699,homestead.snbt: Food That Isn't Raw Chicken,"chapter-key=homestead; icon=""farmersdelight:cooking_pot""",homestead.snbt: Cook Something That Isn't Raw Chicken,"chapter-key=homestead; icon=""farmersdelight:cooking_pot""",unchanged,preserved baseline definition,
chapter,7E000A951764BF36,roadmap.snbt: What Leads Into What?,"chapter-key=roadmap; icon=""minecraft:compass""",roadmap.snbt: Pick a Lane Before You Craft Everything,"chapter-key=roadmap; icon=""minecraft:compass""",unchanged,preserved baseline definition,
chapter,7FEAB6B876385571,enchanting_gear.snbt: Enchanting and the Public Armoury,"chapter-key=enchanting_gear; icon=""minecraft:enchanted_book""",enchanting_gear.snbt: Wizard Shit Without Wasting 47 Levels,"chapter-key=enchanting_gear; icon=""minecraft:enchanted_book""",unchanged,preserved baseline definition,
