"chapter","quest_id","title","mod_id","task_type","task_target","dependencies","optional","reward","verification_status","notes"
"START HERE, YOU BEAUTIFUL NOOB","7DA1925406767A08","Welcome, Noobs (Affectionate)","guide","checkmark","","","False","item + xp + minecraft:bread + minecraft:torch","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"START HERE, YOU BEAUTIFUL NOOB","381BFADC40CC9BDC","JEI: Your Recipe Dictionary","guide","checkmark","","7DA1925406767A08","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"START HERE, YOU BEAUTIFUL NOOB","4B260074BFD1BB0C","Read the World with Jade","guide","checkmark","","381BFADC40CC9BDC","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"START HERE, YOU BEAUTIFUL NOOB","18C0AF7F5C17CAB7","How to Read the Field Guide","guide","checkmark","","4B260074BFD1BB0C","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"START HERE, YOU BEAUTIFUL NOOB","72BE3B6573EDF96E","Mine Smarter, Not Recklessly","guide","checkmark","","18C0AF7F5C17CAB7","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"START HERE, YOU BEAUTIFUL NOOB","2E34979BCE044BF5","Death Is Recoverable","guide","checkmark","","72BE3B6573EDF96E","False","item + minecraft:cooked_beef","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"START HERE, YOU BEAUTIFUL NOOB","044BBAC4BEC5CA7F","Your First Backpack","sophisticatedbackpacks","item","sophisticatedbackpacks:backpack","2E34979BCE044BF5","False","xp","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"START HERE, YOU BEAUTIFUL NOOB","31CF2E051B43098D","A Shared Waystone Network","waystones","item","waystones:waystone","044BBAC4BEC5CA7F","False","item + xp + minecraft:ender_pearl","definition_valid; automated_task_target_pending_runtime_client_test","Core guidance quest; recipes are not gated."
"START HERE, YOU BEAUTIFUL NOOB","5466319B4BC86D8B","Create Ponder","guide","checkmark","","31CF2E051B43098D","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"START HERE, YOU BEAUTIFUL NOOB","11A22EDB82B37413","One Team, Shared Progress","guide","checkmark","","5466319B4BC86D8B","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"START HERE, YOU BEAUTIFUL NOOB","34B44EE7DDB53F36","Map Before You Roam","guide","checkmark","","11A22EDB82B37413","False","item + xp + minecraft:compass","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"START HERE, YOU BEAUTIFUL NOOB","6352A5D038F9A58D","The Fellowship Rule","guide","checkmark","","34B44EE7DDB53F36","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"START HERE, YOU BEAUTIFUL NOOB","3522AB4192F75013","Orientation Complete","guide","checkmark","","6352A5D038F9A58D","False","item + xp + minecraft:experience_bottle","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"START HERE, YOU BEAUTIFUL NOOB","1885CF9658AB663D","Foreword: A World of Many Ages","guide","checkmark","","3522AB4192F75013","True","xp","definition_valid; manual_client_completion_required","Optional side quest."
"START HERE, YOU BEAUTIFUL NOOB","6554DB3F8E866BFC","Your Keyboard Has Been Civilised","guide","checkmark","","18C0AF7F5C17CAB7","True","xp","definition_valid; manual_client_completion_required","Optional side quest."
"START HERE, YOU BEAUTIFUL NOOB","5593696477FD01AA","Right Ingredients, Wrong Output?","guide","checkmark","","381BFADC40CC9BDC","True","xp","definition_valid; manual_client_completion_required","Optional side quest."
"START HERE, YOU BEAUTIFUL NOOB","4602D792753C8542","If the Sky Becomes the Void, Stop","guide","checkmark","","6554DB3F8E866BFC","True","xp","definition_valid; manual_client_completion_required","Optional side quest."
"START HERE, YOU BEAUTIFUL NOOB","242F1BFEAD6A76BB","The Three-Hour Bell Tolls for Thee","guide","checkmark","","11A22EDB82B37413","True","xp","definition_valid; manual_client_completion_required","Optional side quest."
"Pick a Lane Before You Craft Everything","4951C019CBD41BC9","The Pack Is a Web, Not a Checklist","guide","checkmark","","18C0AF7F5C17CAB7","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Pick a Lane Before You Craft Everything","5FBA9C2A946AF928","First Days Lead to a Permanent Home","guide","checkmark","","4951C019CBD41BC9","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Pick a Lane Before You Craft Everything","2EA09A0DD85E0043","Iron Gear Leads to the Public Armoury","guide","checkmark","","5FBA9C2A946AF928","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Pick a Lane Before You Craft Everything","240F25ACED5A4902","Food Leads to Seasons, Kitchens and Bees","guide","checkmark","","2EA09A0DD85E0043","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Pick a Lane Before You Craft Everything","3E394AB031E5749E","Create Leads from Motion to Projects","guide","checkmark","","240F25ACED5A4902","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Pick a Lane Before You Craft Everything","3AB01C6540381820","Storage Leads to Logistics and Transport","guide","checkmark","","3E394AB031E5749E","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Pick a Lane Before You Craft Everything","09CFC052E8CF2070","Exploration Leads to Campaigns","guide","checkmark","","3AB01C6540381820","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Pick a Lane Before You Craft Everything","2ACF4C98E1A3908D","Companions Lead to a Living Settlement","guide","checkmark","","09CFC052E8CF2070","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
"Pick a Lane Before You Craft Everything","25F2DBA507BB3FDD","Choose One Next Project","guide","checkmark","","2ACF4C98E1A3908D","False","xp","definition_valid; manual_client_completion_required","Core guidance quest; recipes are not gated."
